Title;Company;Location;Date;Link
Data Analyst (m/f);Passio Consulting;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-passio-consulting-2718853155?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=9dgGo4VfsO50YYc2YgpQQQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 5 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2718207673?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=FOvG34sRRMmKsMhjf05lNw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1702056634?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=blTtAigPicmIjPcGG4dquA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Remote Friendly Policy;Tamanna.com;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-remote-friendly-policy-at-tamanna-com-2696210292?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=ZWZ3RyLDl2SL9OIb7ek0Ww%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2710706126?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=NGsDoXwQe3FTkEhkCq5zIA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Tableau Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/tableau-data-analyst-at-bnp-paribas-cib-2702713876?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=%2B%2BWLJhtNrOuOGXp8BHlHvQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Google Cloud);KnowledgeWorks;Lisboa, Lisboa, Portugal;Há 15 horas;https://pt.linkedin.com/jobs/view/data-analyst-google-cloud-at-knowledgeworks-2723161527?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=oOETHb8QbTlm%2BNAHDxgTWA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F);TalentSeed;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-talentseed-2719804041?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=KzCLPRmNjWym939iXM%2FlBw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 12 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1523468695?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=SDvYii7V2C%2BUYIY6qVlCRg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst - Banking Industry (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-banking-industry-m-f-at-noesis-2718878004?refId=1eZWlOmKlucieRgmPaPmkg%3D%3D&trackingId=Rw%2BHxwmsIym2Sdl4areoag%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
