Title;Company;Location;Date;Link
Data Analyst (M/F);TalentSeed;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-talentseed-2719804041?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=j1JINgNsKM%2FD4cr%2FlGR3gQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Tableau Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/tableau-data-analyst-at-bnp-paribas-cib-2702713876?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=JayBScxe%2B%2BwaGlRWL5RgSA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Google Cloud);KnowledgeWorks;Lisboa, Lisboa, Portugal;Há 18 horas;https://pt.linkedin.com/jobs/view/data-analyst-google-cloud-at-knowledgeworks-2723161527?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=%2F09%2BLc4Y8sbAMYnSfV2ZmQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 12 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1523468695?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=uyJweiWkD%2FGBNXLamCbAbA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Oferta: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/oferta-data-analyst-m-f-at-nbcc-2723051070?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=lAdKfmpvvg2ZkY2ghMMgnQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst / Market Research;Michael Page;Lisboa, Lisboa, Portugal;Há 13 horas;https://pt.linkedin.com/jobs/view/data-analyst-market-research-at-michael-page-2723513681?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=Lk9NDpLR7HSgpA9P2N4I3A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1702056634?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=mcktPUjmNMQlHhwND%2BMm4A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2710706126?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=2j%2BCrR8Vy4pDL8GEiQzpdQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2720962498?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=yUGH1pc9tp7HRpCIskcWvA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Portugal;Há 1 ano;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1684545972?refId=XuE9ZXRcfSe2k%2FLJg1TwGA%3D%3D&trackingId=bBZ8XZ%2B8uoYrGBAjRALcnA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
