Title;Company;Location;Date;Link
Data Reporting Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-bnp-paribas-cib-2701712289?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=3Dz5%2BSRKj7Gxp5I7FGhYiQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-winning-2714985217?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=LxOMYa8VVUM7hB4RGMxX0g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;NEX T Engineering;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-nex-t-engineering-2711129078?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=wbWEFl1bhykcAViyirrf8g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst ( Tableau/ SQL);Axians Portugal;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axians-portugal-2713259269?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=mNOVG7sxibHyIaZKxSlu%2BA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst ( Tableau/ Sql);Axianspt;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axianspt-2709693958?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=lQ3w9xQLQ9sgS2QXzWNmWw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Reporting Analyst (Pipeline);Axians Portugal;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/reporting-analyst-pipeline-at-axians-portugal-2722889796?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=vUtwqFVWww1cmJ4HM8grFA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Financial Reporting Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/financial-reporting-analyst-at-bold-by-devoteam-2203559081?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=nbvKS7GiWi7ByfG%2FsND5ng%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Oferta de emprego: Reporting Analyst;Dixtior Consulting, Lda.;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/oferta-de-emprego-reporting-analyst-at-dixtior-consulting-lda-2664960231?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=dgyPCnhCMRF%2FMbvpeSGwCA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Credit Risk - Consolidation & Reporting Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 6 dias;https://pt.linkedin.com/jobs/view/credit-risk-consolidation-reporting-analyst-at-bnp-paribas-cib-2640504235?refId=AyE9oAjmQdnZFBXHtbNtYQ%3D%3D&trackingId=GmwvJUBwsZr6b%2FdITRzYxg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
