Title;Company;Location;Date;Link
Business Analyst (M/F);InnoWave;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-innowave-2720947150?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=Fr8l%2BcUVQnhLu7elYlpUOw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Business Analyst;ELEVEN PORTUGAL;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-business-analyst-at-eleven-portugal-2669976433?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=ejQp9y8Z1VGnq7CqSYGIuQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst (m/f);Findmore;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-findmore-2712726862?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=MKfbNzM%2FePgLq5sFuWBi7Q%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst – Consulting Services;IQVIA;Porto Salvo, Lisboa, Portugal;Há 7 dias;https://pt.linkedin.com/jobs/view/business-analyst-%E2%80%93-consulting-services-at-iqvia-2716205146?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=0SEKBj0Wi0ehduLWsxiPIg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;NEX T Engineering;Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/business-analyst-at-nex-t-engineering-2694563467?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=3TMUuvLsgDs1UOIeFSuVCA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;BOLD by Devoteam;Lisboa, Portugal;Há 1 dia;https://pt.linkedin.com/jobs/view/business-analyst-at-bold-by-devoteam-2722171702?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=p2vi%2BH4JOsvVqBjH73iE9w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst – Insurance;Capgemini;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/business-analyst-%E2%80%93-insurance-at-capgemini-2688602008?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=n%2BJ6WGo9dXRT3Mog43ilyw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst for Low Code (M/F);Capgemini Engineering;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-analyst-for-low-code-m-f-at-capgemini-engineering-2710727641?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=Ls0Z92%2BvHYAEaLbS4eiqCQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst (M/F);AskBlue;Lisboa, Lisboa, Portugal;Há 19 horas;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-askblue-2723772657?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=K%2BfIRYR9UNpQoZqg9GxifA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/business-analyst-at-bold-by-devoteam-1581911807?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=bO5O3nNRxMICGj083SymKw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Agile Business Analyst;BABEL;Lisboa, Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/agile-business-analyst-at-babel-2717500028?refId=PX09yFfv2Otk9xJBGqbZ0w%3D%3D&trackingId=%2BwQUUJLFrJyCuNFGeHTfGg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
