Title;Company;Location;Date;Link
Data Analyst - Banco (vínculo direto) - Porto;Log Partners;Lisboa, Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/data-analyst-banco-v%C3%ADnculo-direto-porto-at-log-partners-2721630759?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=O1zNo7ILvP1FTzG75a53rA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Synergie Portugal;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-at-synergie-portugal-2701164410?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=33bgxEWtFzYDMdy0GfAboQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Portugal;Há 1 ano;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1684545972?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=GWr%2Fyyg3y%2FyhQIOIacrbqQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 3 meses;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-bold-by-devoteam-1518265957?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=p3UOcdhIth%2B0jfjXyZZOtA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Data analyst (m/f);Match Profiler;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-match-profiler-2692203534?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=O%2FCyg7A%2F%2B%2F8eB%2F0l0D%2FrRw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Passio Consulting;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-passio-consulting-2718853155?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=jrNpZ2tcFp0l1jgGj8fejA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Big Data Analyst;KCS iT;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-at-kcs-it-2700255781?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=iQ9VyvXlMoL%2BQ7QE7JPD1Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Mind Source;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-mind-source-2684976079?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=g2qC1QhHIwBabeL9T7aaTg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Business Analyst - Data and Analytics;Amgen;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/senior-business-analyst-data-and-analytics-at-amgen-2705254736?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=yNBHcEm5%2Bn6GJhQb7Vu9Zw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Data Consultant & Data Analyst;Keyrus;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-data-consultant-data-analyst-at-keyrus-2711288407?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=uGojID8TB3W6yJoDOLGEWQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 3 horas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2720232575?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=0swVsyVkO%2B6KFymlI8M71g%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst;GroupM Portugal;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/marketing-data-analyst-at-groupm-portugal-2715105427?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=BvY8%2FRk34jcIsotnnV62Mw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Big Data Analyst (Lisbon);KCS iT;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/big-data-analyst-lisbon-at-kcs-it-2720316762?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=bbREb4aJX%2FWZOn1LCkb61w%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst Developer (m/f);Noesis;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-developer-m-f-at-noesis-2700131751?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=JjF6E4A%2B0rZxHSHnzlEkUA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F);TalentSeed;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-talentseed-2719804041?refId=%2Bpi9do6jdoXJ0X%2FRDAtZHg%3D%3D&trackingId=2iPFoLXSimWBZ0wqyfF6Pw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
